old_id,slug,title,status,reason,edit_link
133788,conferences-en-direct-avec-simonne-raffa,"Conférences en direct avec Simonne Raffa",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=133788&amp;action=edit
133786,conference-en-direct-avec-nathalie-kowalski,"Conférence en direct avec Nathalie Kowalski",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=133786&amp;action=edit
131451,scenarios-structures-pour-chiens-reactifs,"Scénarios structurés pour chiens réactifs",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=131451&amp;action=edit
120059,va-dans-ta-chambre,"Va dans ta chambre",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=120059&amp;action=edit
120058,orbit,Orbit,publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=120058&amp;action=edit
120057,recule-2,Recule,publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=120057&amp;action=edit
120056,rampe,Rampe,publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=120056&amp;action=edit
120055,roule-3,Roule,publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=120055&amp;action=edit
120054,scout,Scout,publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=120054&amp;action=edit
120047,cache-ton-nez,"Cache ton nez",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=120047&amp;action=edit
120044,le-paw-tes-mort,"Paw t'es mort",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=120044&amp;action=edit
120043,priere,Prière,publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=120043&amp;action=edit
120042,cop-cop-2,Cop-cop,publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=120042&amp;action=edit
120041,fais-la-belle,"Fais la belle",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=120041&amp;action=edit
120040,bouge-tes-fesses,"Bouge tes fesses",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=120040&amp;action=edit
120039,bye-bye,Bye-bye,publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=120039&amp;action=edit
120038,slalom-3,Slalom,publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=120038&amp;action=edit
120037,coucou,Coucou,publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=120037&amp;action=edit
120036,tourne-3,Tourne,publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=120036&amp;action=edit
120035,donne-la-patte-6,"Donne la patte",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=120035&amp;action=edit
118107,la-conference-4,"La conférence",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=118107&amp;action=edit
116575,la-conference-2,"La conférence",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=116575&amp;action=edit
115162,dsfa,dsfa,publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=115162&amp;action=edit
114964,la-conference,"La conférence",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=114964&amp;action=edit
113641,abc,abc,publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=113641&amp;action=edit
113638,dsaf,"Résilience & gestion des émotions chez le chien",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=113638&amp;action=edit
104131,la-formation-5,"La formation",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=104131&amp;action=edit
104091,conference-du-1er-septembre-2023,"La formation",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=104091&amp;action=edit
103562,dd,"L’utilisation éthique du renforcement négatif",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=103562&amp;action=edit
102813,la-socialisation-du-chiot,"Combler l’écart entre la pratique des éducateurs canins et les données scientifiques",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=102813&amp;action=edit
101550,developper-la-motivation,"Développer la motivation",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=101550&amp;action=edit
101126,mon-petit-guide-dautodefence-2,"Mon petit Guide d'autodéfence",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=101126&amp;action=edit
101125,bienvenue-5,Bienvenue!,publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=101125&amp;action=edit
101123,mon-petit-guide-dautodefence,"Mon petit Guide d'autodéfence",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=101123&amp;action=edit
101122,bienvenue-4,Bienvenue!,publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=101122&amp;action=edit
100822,dfdsf,"Ton guide d'autodéfense",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=100822&amp;action=edit
100821,mieux-comprendre-analyser-et-debattre,"Mieux Comprendre, Analyser et Débattre",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=100821&amp;action=edit
100744,documents,Documents,publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=100744&amp;action=edit
100742,module-5-leducation-du-client-2,"Module 5 - L'éducation du client",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=100742&amp;action=edit
100740,module-3-et-4-deroulement-des-actes-diagnostiques-et-therapeutiques,"Module 3 et 4 - Déroulement des actes diagnostiques et thérapeutiques",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=100740&amp;action=edit
100738,module-2-creer-une-experience-positive-2,"Module 2 - Créer une expérience positive",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=100738&amp;action=edit
100736,module-1-definir-le-stress-canin-en-clinique-2,"Module 1 - Définir le stress canin en clinique",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=100736&amp;action=edit
100266,mot-de-la-fin-19,"Mot de la fin",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=100266&amp;action=edit
100006,prevention-des-morsures,"Prévention des morsures",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=100006&amp;action=edit
99322,steriliser-ou-ne-pas-steriliser,"Stériliser ou ne pas stériliser ?",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=99322&amp;action=edit
99290,cohorte-du-30-avril-2023,"Cohorte du 30 avril 2023",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=99290&amp;action=edit
96015,les-evaluations-ladaptation-2,"Les évaluations & l'adaptation",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=96015&amp;action=edit
96013,ladoption-quoi-regarder,"L'adoption : Quoi regarder ?",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=96013&amp;action=edit
96012,introduction-30,Introduction,publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=96012&amp;action=edit
95991,conference-sur-les-chiens-mordeurs,"Conférence sur les chiens mordeurs",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=95991&amp;action=edit
95960,votre-webinaire-sur-la-reactivite-canine,"Votre webinaire sur la réactivité canine",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=95960&amp;action=edit
95625,la-magie-de-premack-dimanche-5-mars-2023-de-9h00-a-11h30,"La magie de Premack - Dimanche 5 mars 2023, de 9h00 à 11h30",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=95625&amp;action=edit
95256,partie-2-samedi-20-mai-de-9h-a-12h-heure-du-quebec,"Partie 2 - Samedi 20 mai de 9h à 12h (heure du Québec)",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=95256&amp;action=edit
95255,partie-1-vendredi-19-mai-de-9h-a-12h-heure-du-quebec,"Partie 1 - Vendredi 19 mai de 9h à 12h (heure du Québec)",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=95255&amp;action=edit
84178,qa-du-21-juin-2022,"Q&A du 21 juin 2022",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=84178&amp;action=edit
81097,coaching-2-5-avril,"Coaching #2- 5 avril",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=81097&amp;action=edit
77563,4-1-observation-et-maniement-de-la-laisse,"4.1 - Observation et maniement de la laisse",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=77563&amp;action=edit
77289,comment-bien-evaluer-lentrainement,"Comment bien évaluer l'entraînement ?",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=77289&amp;action=edit
77287,cest-le-moment-des-exercices,"C'est le moment des exercices !",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=77287&amp;action=edit
77210,la-protection-de-ressources-cest-quoi,"La protection de ressources, c'est quoi ?",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=77210&amp;action=edit
77208,plan-de-cours-6,"Plan de cours",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=77208&amp;action=edit
77206,presentation-4,Présentation,publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=77206&amp;action=edit
77204,introduction-26,Introduction,publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=77204&amp;action=edit
68264,jour-5-30-mars,"Jour 5 - 30 mars",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=68264&amp;action=edit
68263,jour-4-29-mars,"Jour 4 - 29 mars",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=68263&amp;action=edit
68261,vos-ressources-a-telecharger,"Vos ressources à télécharger",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=68261&amp;action=edit
67301,important,Important,publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=67301&amp;action=edit
67298,le-marqueur-4,"Le marqueur",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=67298&amp;action=edit
67218,preparer-fido-a-la-visite-chez-le-veterinaire-3,"Préparer Fido à la visite chez le vétérinaire",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=67218&amp;action=edit
67215,pose-la-tete-5,"Pose la tête",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=67215&amp;action=edit
67212,donne-la-patte-4,"Donne la patte",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=67212&amp;action=edit
67200,la-socialisation-2,"La socialisation",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=67200&amp;action=edit
67193,le-marqueur-3,"Le marqueur",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=67193&amp;action=edit
67005,et-les-methodes-deducation-dans-tout-ca,"Et les méthodes d'éducation dans tout ça ?",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=67005&amp;action=edit
67003,le-fameux-dilemme-de-la-cage,"Le fameux dilemme de la cage !",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=67003&amp;action=edit
67001,les-premiers-jours,"Les premiers jours",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=67001&amp;action=edit
66981,choisir-sa-race-et-son-eleveur,"Choisir sa race et son éleveur",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=66981&amp;action=edit
66921,socialisation-langage-canin,"Socialisation - Langage canin",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=66921&amp;action=edit
66911,outils-dentrainement-2,"Outils d'entraînement",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=66911&amp;action=edit
66909,bienvenue-dans-chiot-101,"Bienvenue dans chiot 101 !",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=66909&amp;action=edit
66907,bienvenue-a-fido,"Bienvenue à Fido !",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=66907&amp;action=edit
66853,sauts-et-mordillements,"Sauts et mordillements",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=66853&amp;action=edit
66828,preparer-fido-a-la-visite-chez-le-veterinaire,"Préparer Fido à la visite chez le vétérinaire",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=66828&amp;action=edit
66825,apprendre-la-solitude,"Apprendre la solitude",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=66825&amp;action=edit
66744,pose-la-tete-3,"Pose la tête",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=66744&amp;action=edit
66742,aimer-les-manipulations-2,"Aimer les manipulations",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=66742&amp;action=edit
66726,pose-la-tete-2,"Pose la tête",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=66726&amp;action=edit
66723,aimer-les-manipulations,"Aimer les manipulations",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=66723&amp;action=edit
66709,les-manipulations,"Les manipulations",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=66709&amp;action=edit
66705,pose-la-tete,"Pose la tête",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=66705&amp;action=edit
66704,menton,Menton,publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=66704&amp;action=edit
66686,linterrupteur-de-comportement,"L'interrupteur de comportement",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=66686&amp;action=edit
66634,aimer-sa-cage,"Aimer sa cage",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=66634&amp;action=edit
66628,aimer-la-voiture,"Aimer la voiture",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=66628&amp;action=edit
66614,la-marche,"La marche",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=66614&amp;action=edit
66613,le-rappel,"Le rappel",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=66613&amp;action=edit
66612,le-coucher,"Le coucher",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=66612&amp;action=edit
66610,le-assis,"Le assis",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=66610&amp;action=edit
66564,laspirateur,L'aspirateur,publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=66564&amp;action=edit
66536,interactions-avec-les-enfants,"Interactions avec les enfants",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=66536&amp;action=edit
66531,on-echange,"Vols d'objets et protection de ressources: On échange?",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=66531&amp;action=edit
66530,interactions-avec-le-chat-ou-le-lapin,"Interactions avec le chat (ou le lapin)",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=66530&amp;action=edit
66514,les-mordillements-3,"Les mordillements",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=66514&amp;action=edit
66447,les-mordillements-2,"Les mordillements",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=66447&amp;action=edit
66444,les-sauts-2,"Les sauts",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=66444&amp;action=edit
66162,exercices,Exercices,publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=66162&amp;action=edit
66161,vols-dobjets-et-protection-de-ressources,"Vols d'objets et protection de ressources",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=66161&amp;action=edit
66160,lapproche-positive,"L'approche positive",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=66160&amp;action=edit
66159,le-lache,"Le ""lâche""",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=66159&amp;action=edit
66080,le-marqueur,"Le marqueur",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=66080&amp;action=edit
66079,materiel,"Outils d'entraînement",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=66079&amp;action=edit
66078,fonctionnement-du-cours,Bienvenue,publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=66078&amp;action=edit
65870,tours-pour-samuser,"Tours pour s'amuser",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=65870&amp;action=edit
65869,autocontroles,"Autocontrôles et focus",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=65869&amp;action=edit
65868,obeissance-2,Obeissance,publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=65868&amp;action=edit
65867,apprendre-lindependance,"Apprendre l'indépendance",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=65867&amp;action=edit
65865,jeu-du-tapis,"Jeu du tapis",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=65865&amp;action=edit
65864,harnais-collier,Harnais/collier/manteau,publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=65864&amp;action=edit
65863,soins-veterinaire,"Soins vétérinaire",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=65863&amp;action=edit
65862,toilettage,Toilettage,publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=65862&amp;action=edit
65861,donne-la-patte-2,"Donne la patte",publish,no_course_link,https://temp.strategiasolutions.com/wp-admin/post.php?post=65861&amp;action=edit
