old_id,slug,title,action
133788,"conferences-en-direct-avec-simonne-raffa","Conférences en direct avec Simonne Raffa","create"
133786,"conference-en-direct-avec-nathalie-kowalski","Conférence en direct avec Nathalie Kowalski","create"
131451,"scenarios-structures-pour-chiens-reactifs","Scénarios structurés pour chiens réactifs","create"
120059,"va-dans-ta-chambre","Va dans ta chambre","create"
120058,"orbit","Orbit","create"
120057,"recule-2","Recule","create"
120056,"rampe","Rampe","create"
120055,"roule-3","Roule","create"
120054,"scout","Scout","create"
120047,"cache-ton-nez","Cache ton nez","create"
120044,"le-paw-tes-mort","Paw t'es mort","create"
120043,"priere","Prière","create"
120042,"cop-cop-2","Cop-cop","create"
120041,"fais-la-belle","Fais la belle","create"
120040,"bouge-tes-fesses","Bouge tes fesses","create"
120039,"bye-bye","Bye-bye","create"
120038,"slalom-3","Slalom","create"
120037,"coucou","Coucou","create"
120036,"tourne-3","Tourne","create"
120035,"donne-la-patte-6","Donne la patte","create"
118107,"la-conference-4","La conférence","create"
116575,"la-conference-2","La conférence","create"
115162,"dsfa","dsfa","create"
114964,"la-conference","La conférence","create"
113641,"abc","abc","create"
113638,"dsaf","Résilience & gestion des émotions chez le chien","create"
104131,"la-formation-5","La formation","create"
104091,"conference-du-1er-septembre-2023","La formation","create"
103562,"dd","L’utilisation éthique du renforcement négatif","create"
102813,"la-socialisation-du-chiot","Combler l’écart entre la pratique des éducateurs canins et les données scientifiques","create"
101550,"developper-la-motivation","Développer la motivation","create"
101126,"mon-petit-guide-dautodefence-2","Mon petit Guide d'autodéfence","create"
101125,"bienvenue-5","Bienvenue!","create"
101123,"mon-petit-guide-dautodefence","Mon petit Guide d'autodéfence","create"
101122,"bienvenue-4","Bienvenue!","create"
100822,"dfdsf","Ton guide d'autodéfense","create"
100821,"mieux-comprendre-analyser-et-debattre","Mieux Comprendre, Analyser et Débattre","create"
100744,"documents","Documents","create"
100742,"module-5-leducation-du-client-2","Module 5 - L'éducation du client","create"
100740,"module-3-et-4-deroulement-des-actes-diagnostiques-et-therapeutiques","Module 3 et 4 - Déroulement des actes diagnostiques et thérapeutiques","create"
100738,"module-2-creer-une-experience-positive-2","Module 2 - Créer une expérience positive","create"
100736,"module-1-definir-le-stress-canin-en-clinique-2","Module 1 - Définir le stress canin en clinique","create"
100266,"mot-de-la-fin-19","Mot de la fin","create"
100006,"prevention-des-morsures","Prévention des morsures","create"
99322,"steriliser-ou-ne-pas-steriliser","Stériliser ou ne pas stériliser ?","create"
99290,"cohorte-du-30-avril-2023","Cohorte du 30 avril 2023","create"
96015,"les-evaluations-ladaptation-2","Les évaluations & l'adaptation","create"
96013,"ladoption-quoi-regarder","L'adoption : Quoi regarder ?","create"
96012,"introduction-30","Introduction","create"
95991,"conference-sur-les-chiens-mordeurs","Conférence sur les chiens mordeurs","create"
95960,"votre-webinaire-sur-la-reactivite-canine","Votre webinaire sur la réactivité canine","create"
95625,"la-magie-de-premack-dimanche-5-mars-2023-de-9h00-a-11h30","La magie de Premack - Dimanche 5 mars 2023, de 9h00 à 11h30","create"
95256,"partie-2-samedi-20-mai-de-9h-a-12h-heure-du-quebec","Partie 2 - Samedi 20 mai de 9h à 12h (heure du Québec)","create"
95255,"partie-1-vendredi-19-mai-de-9h-a-12h-heure-du-quebec","Partie 1 - Vendredi 19 mai de 9h à 12h (heure du Québec)","create"
84178,"qa-du-21-juin-2022","Q&A du 21 juin 2022","create"
81097,"coaching-2-5-avril","Coaching #2- 5 avril","create"
77563,"4-1-observation-et-maniement-de-la-laisse","4.1 - Observation et maniement de la laisse","create"
77289,"comment-bien-evaluer-lentrainement","Comment bien évaluer l'entraînement ?","create"
77287,"cest-le-moment-des-exercices","C'est le moment des exercices !","create"
77210,"la-protection-de-ressources-cest-quoi","La protection de ressources, c'est quoi ?","create"
77208,"plan-de-cours-6","Plan de cours","create"
77206,"presentation-4","Présentation","create"
77204,"introduction-26","Introduction","create"
68264,"jour-5-30-mars","Jour 5 - 30 mars","create"
68263,"jour-4-29-mars","Jour 4 - 29 mars","create"
